year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes,group
2017,25,中国农业大学,49.66亿元,亿元,49.66,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,26,重庆大学,47.94亿元,亿元,47.94,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,27,东北大学,47.76亿元,亿元,47.76,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,30,电子科技大学,41.81亿元,亿元,41.81,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,33,湖南大学,40.60亿元,亿元,40.6,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,39,西北农林科技大学,35.36亿元,亿元,35.36,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,44,兰州大学,31.13亿元,亿元,31.13,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,48,中国海洋大学,26.63亿元,亿元,26.63,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2018,1,清华大学,269.45亿元,亿元,269.45,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,2,浙江大学,154.65亿元,亿元,154.65,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,3,上海交通大学,144.88亿元,亿元,144.88,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,4,中山大学,134.92亿元,亿元,134.92,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,5,同济大学,134.21亿元,亿元,134.21,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,OCR漏识别预算总经费134.21; 已按原图补入,985
2018,6,北京大学,125.54亿元,亿元,125.54,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,7,复旦大学,108.90亿元,亿元,108.9,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,8,华中科技大学,97.97亿元,亿元,97.97,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,9,吉林大学,97.65亿元,亿元,97.65,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,10,武汉大学,93.48亿元,亿元,93.48,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,11,四川大学,85.28亿元,亿元,85.28,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,12,山东大学,84.41亿元,亿元,84.41,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,13,天津大学,82.88亿元,亿元,82.88,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,14,南京大学,81.26亿元,亿元,81.26,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,15,西安交通大学,80.39亿元,亿元,80.39,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,16,厦门大学,76.81亿元,亿元,76.81,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,17,中南大学,73.02亿元,亿元,73.02,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,18,华南理工大学,71.75亿元,亿元,71.75,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,19,南开大学,69.15亿元,亿元,69.15,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
