year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes
2017,39,西北农林科技大学,34.61亿元,亿元,34.61,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,40,兰州大学,34.3亿元,亿元,34.3,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,41,北京化工大学,33.35亿元,亿元,33.35,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,42,南京农业大学,33.02亿元,亿元,33.02,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,43,中国地质大学（武汉）,33.0亿元,亿元,33.0,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,44,华东理工大学,32.1亿元,亿元,32.1,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,45,河海大学,31.42亿元,亿元,31.42,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,46,中国矿业大学,31.36亿元,亿元,31.36,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,47,华中农业大学,31.03亿元,亿元,31.03,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,48,江南大学,30.15亿元,亿元,30.15,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,49,华中师范大学,28.64亿元,亿元,28.64,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,50,华北电力大学,28.51亿元,亿元,28.51,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,51,北京邮电大学,27.77亿元,亿元,27.77,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,52,合肥工业大学,27.2亿元,亿元,27.2,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,53,东北师范大学,25.89亿元,亿元,25.89,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,55,中国地质大学（北京）,23.21亿元,亿元,23.21,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,56,陕西师范大学,21.81亿元,亿元,21.81,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
