year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes
2017,21,东南大学,59.94亿元,亿元,59.94,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,22,大连理工大学,53.04亿元,亿元,53.04,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,23,中国人民大学,52.03亿元,亿元,52.03,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,24,华东师范大学,50.39亿元,亿元,50.39,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,25,中国农业大学,49.66亿元,亿元,49.66,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,26,重庆大学,47.94亿元,亿元,47.94,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,27,东北大学,47.76亿元,亿元,47.76,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,28,北京交通大学,46.38亿元,亿元,46.38,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,29,西南交通大学,45.20亿元,亿元,45.20,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,30,电子科技大学,41.81亿元,亿元,41.81,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,31,北京科技大学,41.48亿元,亿元,41.48,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,32,武汉理工大学,41.05亿元,亿元,41.05,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,33,湖南大学,40.60亿元,亿元,40.60,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,34,西南大学,38.67亿元,亿元,38.67,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,35,中国地质大学（武汉）,37.53亿元,亿元,37.53,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,36,中国石油大学（华东）,36.81亿元,亿元,36.81,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,37,中国矿业大学,36.57亿元,亿元,36.57,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,38,中国石油大学（北京）,36.32亿元,亿元,36.32,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,39,西北农林科技大学,35.36亿元,亿元,35.36,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,40,华东理工大学,35.12亿元,亿元,35.12,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,41,西安电子科技大学,34.16亿元,亿元,34.16,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,42,南京农业大学,32.79亿元,亿元,32.79,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,43,河海大学,28.88亿元,亿元,28.88,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,44,兰州大学,31.13亿元,亿元,31.13,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,45,合肥工业大学,29.52亿元,亿元,29.52,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,46,华北电力大学,27.79亿元,亿元,27.79,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,47,华中农业大学,27.37亿元,亿元,27.37,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,48,中国海洋大学,26.63亿元,亿元,26.63,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,49,华中师范大学,26.60亿元,亿元,26.60,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,50,长安大学,26.05亿元,亿元,26.05,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,51,江南大学,25.69亿元,亿元,25.69,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,52,东北师范大学,25.08亿元,亿元,25.08,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,53,陕西师范大学,24.77亿元,亿元,24.77,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
