year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes,group
2018,7,复旦大学,108.90亿元,亿元,108.9,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,C9
2018,14,南京大学,81.26亿元,亿元,81.26,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,C9
2018,15,西安交通大学,80.39亿元,亿元,80.39,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,C9
2019,1,北京大学,190.06亿元,亿元,190.06,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2019,2,清华大学,297.20亿元,亿元,297.2,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2019,3,浙江大学,191.77亿元,亿元,191.77,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2019,8,上海交通大学,156.32亿元,亿元,156.32,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2019,9,复旦大学,125.09亿元,亿元,125.09,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2019,12,西安交通大学,88.17亿元,亿元,88.17,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2019,14,南京大学,77.53亿元,亿元,77.53,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,C9
2020,1,清华大学,310.72亿元,亿元,310.72,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
2020,2,浙江大学,216.20亿元,亿元,216.2,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
2020,3,北京大学,191.08亿元,亿元,191.08,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
2020,5,上海交通大学,164.90亿元,亿元,164.9,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
2020,6,复旦大学,136.21亿元,亿元,136.21,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
2020,10,西安交通大学,101.16亿元,亿元,101.16,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
2020,19,南京大学,79.29亿元,亿元,79.29,2020预算.jpg,https://www.eol.cn/shuju/uni/202108/t20210805_2143174.shtml,paddleocr_strip,False,,C9
