year,rank,university,annual_budget_yi_yuan,current_year_income_yi_yuan,income_total_yi_yuan,annual_income_total_yi_yuan,annual_expenditure_total_yi_yuan,prior_year_budget_yi_yuan,change_yi_yuan,change_ratio,fiscal_appropriation_income_yi_yuan,fiscal_appropriation_ratio,department,province,source_image,source_url,extraction_method,verified,notes
2016,43,南京农业大学,27.46,,,19.00,22.97,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,44,华中农业大学,27.05,,,18.81,21.60,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,45,华北电力大学,27.00,,,19.67,19.49,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,46,合肥工业大学,26.63,,,19.52,20.60,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,47,长安大学,26.53,,,19.61,19.61,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,48,中国海洋大学,24.74,,,19.45,24.74,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,49,华中师范大学,24.45,,,20.00,23.95,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,50,江南大学,23.22,,,18.27,20.72,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,51,北京邮电大学,22.55,,,19.75,22.55,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,52,东北师范大学,22.36,,,19.39,19.62,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,53,中国地质大学（北京）,20.85,,,11.88,13.45,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,54,中南财经政法大学,20.16,,,13.79,19.46,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,55,东华大学,19.58,,,15.90,15.90,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,56,陕西师范大学,17.41,,,16.13,16.17,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,57,对外经济贸易大学,16.07,,,11.91,15.47,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,58,北京林业大学,15.67,,,15.57,14.87,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,59,东北林业大学,14.84,,,12.83,12.88,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,60,北京中医药大学,14.52,,,8.57,11.96,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,61,中国药科大学,14.12,,,11.02,11.02,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,62,上海财经大学,13.16,,,11.38,12.28,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,63,中国矿业大学（北京）,12.31,,,7.36,7.76,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,64,中国传媒大学,11.92,,,11.08,11.03,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,65,中央财经大学,11.36,,,10.56,10.60,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,66,北京外国语大学,10.18,,,9.95,10.01,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,67,北京语言大学,10.15,,,7.60,9.83,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,68,中国政法大学,9.91,,,9.77,9.91,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,69,上海外国语大学,9.02,,,8.74,8.86,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,70,中央音乐学院,4.20,,,3.96,4.20,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,71,中央戏剧学院,3.05,,,2.47,3.05,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2017,1,清华大学,233.35,,,170.68,193.35,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,2,北京大学,193.45,,,142.27,145.85,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,3,浙江大学,150.47,,,96.39,108.05,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,4,上海交通大学,140.77,,,108.35,112.77,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,5,中山大学,116.41,,,90.02,84.76,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,6,天津大学,113.49,,,88.13,97.08,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,7,复旦大学,100.41,,,71.28,74.60,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,8,吉林大学,87.96,,,62.91,62.71,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,9,武汉大学,87.49,,,64.00,72.49,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,10,华中科技大学,84.22,,,59.44,64.88,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,11,山东大学,79.90,,,62.43,68.54,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,12,同济大学,76.65,,,56.73,54.88,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,13,四川大学,76.25,,,57.25,,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
2017,14,厦门大学,71.84,,,60.84,,,,,,,,,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,
